#---
#---EXFOR Standard Output---
#=============================================================================
#DATASET        O0851002 
#NOW            2022/03/23:15:09:21
#SUBENT         O0851002   20030501
#ENTRY          O0851      20030501
#AUTHOR1        M.Chiari+
#YEAR           2001
#X4REF1         J,NIM/B,174,259,2001
#REFERENCE1     Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.174, p.259 (2001)
#REACTION       13-AL-27(P,EL)13-AL-27,,DA
#D4REAC         R0#
#C4Reaction     (P,EL),DA
#ReactionType   DA
#Quantity       Differential c/s with respect to angle
#IndVarFamCode  [0 2 4      ]
#ExpectedUnits  [B/SR]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        9
#HEADER         7           9           12
!DATA        ERR-T       ERR-S       ERR-1       ERR-2       ERR-3       EN          EN-ERR      ANG         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    MEV         KEV         ADEG        
!Y.Value     Y.Err+-     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    X1.Err+-    X2.Value    
!0.1         0.911       0.944       0.955       0.955       0.955       1.1         1.911       2.1         
!variable    const       const       const       const       const       variable    const       variable    
!1.0         1.0         1.0         1.0         1.0         1.0         1000000.0   1000.0      1.0         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    EV          EV          ADEG        
#DATA           2512        9           12
 0.066       2.5         1.          1.          0.5         0.5         2.274       3.          150.        
 0.066       2.5         1.          1.          0.5         0.5         2.274       3.          155.        
 0.066       2.5         1.          1.          0.5         0.5         2.274       3.          160.        
 0.072       2.5         1.          1.          0.5         0.5         2.274       3.          165.        
 0.065       2.5         1.          1.          0.5         0.5         2.274       3.          170.        
 0.155       2.5         1.          1.          0.5         0.5         2.286       3.          100.        
 0.129       2.5         1.          1.          0.5         0.5         2.286       3.          105.        
 0.112       2.5         1.          1.          0.5         0.5         2.286       3.          110.        
 0.096       2.5         1.          1.          0.5         0.5         2.286       3.          115.        
 0.086       2.5         1.          1.          0.5         0.5         2.286       3.          120.        
 0.078       2.5         1.          1.          0.5         0.5         2.286       3.          125.        
 0.07        2.5         1.          1.          0.5         0.5         2.286       3.          130.        
 0.065       2.5         1.          1.          0.5         0.5         2.286       3.          135.        
 0.062       2.5         1.          1.          0.5         0.5         2.286       3.          140.        
 0.059       2.5         1.          1.          0.5         0.5         2.286       3.          145.        
 0.059       2.5         1.          1.          0.5         0.5         2.286       3.          150.        
 0.059       2.5         1.          1.          0.5         0.5         2.286       3.          155.        
 0.059       2.5         1.          1.          0.5         0.5         2.286       3.          160.        
 0.058       2.5         1.          1.          0.5         0.5         2.286       3.          165.        
